id,empresa,historico,date,debito,credito,valor,conta_devedora,conta_credora
,clickwings,Saldo Inicial,2017-12-31,RD,transit,1785,1.3.20.010.0011,transit
,clickwings,Saldo Inicial,2017-12-31,RD,transit,1785,1.3.20.010.0011,transit
